queryNum,queryID,variantID,queryText
24,32963,4388082,"SELECT a.empName, a.annualSalary, b.deptName, b.deptLocation, a.jobTitle FROM Employee a JOIN Department b ON a.deptID = b.deptID  WHERE (b.deptLocation = 'Dubai' OR b.deptName = 'Sales') AND (a.annualSalary / 12 >= 7000 AND a.annualSalary / 12 <= 10000) AND (a.empName LIKE '_A%' OR a.empName LIKE '_I%') ORDER BY a.empName, b.deptName DESC"
25,12133,4388082,"SELECT E1.empName, E1.annualSalary, D1.deptName, D1.deptLocation, E1.jobTitle FROM (Employee E1 INNER JOIN Department D1 ON D1.deptID = E1.DeptID) WHERE (D1.deptLocation = 'Dubai' OR D1.deptName = 'Sales') AND (E1.annualSalary/12 >= 7000 AND E1.annualSalary/12 <= 10000) AND (E1.empName LIKE '_A%' OR E1.empName LIKE '_I%') ORDER BY E1.empName, D1.deptName DESC"
26,34727,4388082,"Select Employee.empName, Employee.annualSalary, Department.deptName, Department.deptLocation, Employee.jobTitle From Department, Employee Where Employee.deptID = Department.deptID AND Employee.annualSalary>= 94000 AND Employee.annualSalary<= 120000 AND ((Employee.empname LIKE '_a%') OR (Employee.empname LIKE '_i%')) AND ((Department.deptlocation = ""Dubai"") OR (Department.deptName = ""Sales"")) Order by Employee.empname, Department.deptName DESC"
27,5308,4388082,"SELECt Employee.empName, Employee.annualSalary, Department.deptName, Department.deptLocation, Employee.jobTitle FROM Employee, Department WHERE (Employee.deptID = Department.deptID) AND (Department.deptLocation = 'Dubai' OR Department.deptName = 'Sales') AND (Employee.annualSalary/12 <= 10000.0 && Employee.annualSalary/12 >= 7000.0) AND (Employee.empName LIKE '_a%' OR Employee.empName LIKE '_i%')"
28,35941,4388082,"SELECT empName, annualSalary, deptName, deptLocation, jobTitle FROM Department, Employee WHERE (deptName = ""Sales"") AND (annualSalary/12 BETWEEN 7000 AND 10000) AND (empName LIKE '_A%' OR empName LIKE '_I%') AND jobTitle LIKE ""Sales%"" ORDER BY empName ASC, deptName DESC"
29,4370,4388082,"SELECT a.empName, a.annualSalary, b.deptName, b.deptLocation, a.jobTitle FROM Employee a INNER JOIN Department b ON a.deptID = b.deptId WHERE ((b.deptLocation LIKE ""Dubai"" OR b.deptName LIKE ""Sales"") AND (a.annualSalary/12 BETWEEN 7000 AND 10000)) AND (a.empName LIKE ""_a%"" OR a.empName LIKE ""_i%"") ORDER BY a.empName ASC, b.deptName DESC"
30,34723,4388082,"SELECT empName, annualSalary, deptName, deptLocation, jobTitle FROM Employee a NATURAL JOIN Department d WHERE      (b.deptLocation = 'Dubai' OR b.deptName = 'Sales') AND      ((a.annualSalary / 12 >= 7000) AND (a.annualSalary / 12 <= 10000)) AND      (a.empName LIKE '_A%' OR a.empName LIKE '_I%') ORDER BY a.empName, b.deptName DESC;"
31,5126,4388082,"SELECT a.empName, a.annualSalary, b.deptName, b.deptLocation, a.jobTitle FROM Employee a, Department b WHERE a.deptId = b.deptId AND (b.deptLocation = ""Dubai"" OR b.deptName = ""Sales"")     AND (a.annualSalary/12 >= 7000 AND a.annualSalary/12 <=10000)      AND (a.empName LIKE '_A%' OR a.empName LIKE '_I%')"
32,126556,4388082,"SELECT a.empName, a.annualSalary, b.deptName, b.deptLocation, a.jobTitle FROM Employee a, Department b WHERE (b.deptID = a.deptID) AND (b.deptLocation = 'DUBAI' OR b.deptName = 'SALES') AND (a.annualSalary/12 BETWEEN 7000 AND 10000) AND (a.empName LIKE ""_A%"" OR a.empName LIKE ""_I%"")"
33,127606,4388082,"select a.empName, a.annualSalary, b.deptName, b.deptLocation, a.jobTitle from Employee a natural join Department d where (b.deptLocation='Dubai' or b.deptName='Sales') and (a.annualSalary/12 >= 7000 or a.annualSalary <= 10000) and (a.empName like '%a%' or a.empName like '%i%')"
34,37267,4388082,"SELECT empName, annualSalary, deptName, deptLocation, jobTitle FROM Employee NATURAL JOIN Department WHERE (deptLocation = 'Dubai' OR deptName = 'Sales') AND annualSalary >= 7000 AND annualSalary <= 100000 AND empName LIKE '_i%' ORDER BY empName ASC, deptName DESC"
35,30481,4388082,"SELECT empName, annualSalary, deptName, deptLocation, jobTitle FROM Employee e NATURAL JOIN Department d WHERE (deptLocation LIKE ""Dubai"" OR deptName LIKE ""Sales"") AND     (annualSalary >= 7000*12 AND annualSalary <= 10000*12) AND     (empName LIKE ""_A%"" OR empName LIKE ""_I%"" OR empName LIKE ""_a%"" OR empName LIKE ""_i%"") ORDER BY empName, deptName DESC"
36,36594,4388082,"SELECT a.empName, a.annualSalary, b.deptName, b.deptLocation, a.jobTitle FROM Employee E     JOIN Department b ON b.deptID = a.deptID WHERE (b.deptLocation = 'Dubai' OR b.deptName = 'Sales') AND       ((a.annualSalary / 12) >= 7000 AND (a.annualSalary / 12) <= 10000) AND       (empName LIKE '_A%' OR empName LIKE '_I%' OR empName LIKE '_a%' OR empName LIKE '_i%')"
37,5753,4388082,"select a.empName, a.annualSalary, b.deptName, b.deptLocation, a.jobTitle from Employee a inner join Department b on a.deptId = b.deptId where (b.deptLocation = ""Dubai"" or b.deptName = ""Sales"") and  ((a.annualSalary / 12) <= 10000 or (a.annualSalary / 12) >= 7000) and (a.empName like ""_A%"" or a.empName like ""_I%"")"
38,37112,4388082,"SELECT a.empName, a.annualSalary, b.deptName, b.deptLocation, a.jobTitle FROM Employee a NATURAL JOIN Department d WHERE (b.deptLocation = 'Dubai' OR b.deptName = 'Sales') AND (a.annualSalary/12 >= 7000 AND a.annualSalary/12 <= 10000) AND (a.empName LIKE ""_A%"" OR a.empName LIKE ""_I%"") ORDER BY a.empName, b.deptName DESC"
39,5791,4388082,"select empName, annualSalary, deptName, deptLocation, jobTitle from Employee natural join Department where (deptLocation = ""Dubai"" or deptName = ""Sales"")     and (annualSalary / 12 >= 7000 and annualSalary / 12 <= 10000)     and (empName like ""_A%"" or empName like ""_I%"") order by empName, deptName desc"
40,36387,4388082,"SELECT Employee.empName, Employee.annualSalary, Department.deptName, Department.deptLocation, Employee.jobTitle  FROM Employee INNER JOIN Department on Employee.deptId = Department.deptId WHERE (Department.deptLocation = 'Dubai' OR Department.deptName = 'Sales') AND (Employee.empName LIKE '_I%' OR Employee.empName LIKE '_A%') GROUP BY Employee.empId ORDER BY Employee.empName ASC, Department.deptName DESC;"
41,336388,4388082,"SELECT a.empName, a.annualSalary, b.deptName, b.deptLocation, a.jobTitle FROM Employee as e JOIN Department as d ON a.deptID = b.deptID WHERE (b.deptLocation = 'Dubai' OR b.deptName = 'Sales') AND (a.annualSalary/12 >= 7000 AND a.annualSalary/12 <= 10000) AND (a.empName LIKE '_A%' OR a.empName LIKE '_I%') ORDER BY a.empName ASC, b.deptName DESC"
42,331540,4388082,"Select a.empName,a.annualSalary,b.deptName,b.deptLocation,a.jobTitle from Employee a,Department b,Salary_Grade c where a.deptID=b.deptID and a.annualSalary >= c.minAnnualSalary and a.annualSalary <= c.maxAnnualSalary and (b.deptLocation LIKE 'Dubai' OR b.deptName LIKE 'Sales') and  (a.annualSalary/12 >= 7000 and a.annualSalary/12 <= 10000) and (a.empName LIKE '_A%' OR a.empName LIKE '_I%') order by a.empName,b.deptName DESC"
43,36209,4388082,"SELECT a.empName, a.annualSalary, b.deptName, b.deptLocation, a.jobTitle  FROM Employee a, Department b WHERE a.deptId = b.deptId      AND (b.deptLocation = ""Dubai"" OR b.deptName = ""Sales"")     AND ((a.empName LIKE ""_a%"") OR (a.empName LIKE ""_i%""));     "
44,33198,4388082,"SELECT a.empName, a.annualSalary, b.deptName, b.deptLocation, a.jobTitle FROM Employee a, Department b WHERE ((b.deptName = ""Sales"" AND a.jobTitle LIKE '%Sales%')) AND (a.annualSalary/12 >= 7000 AND a.annualSalary/12 <= 10000) AND (a.empName LIKE '_A%' OR a.empName LIKE '_I%') AND a.annualSalary IN (SELECT e2.annualSalary FROM Employee e2, Salary_Grade s WHERE e2.annualSalary >= s.minAnnualSalary AND e2.annualSalary <= s.maxAnnualSalary) ORDER BY a.empName, b.deptName DESC"
45,5435,4388082,"SELECT empName, annualSalary, deptName, deptLocation, jobTitle FROM Employee emp JOIN Department dept ON b.deptID = a.deptID WHERE (deptLocation = 'Dubai' OR deptName = 'Sales')  AND (annualSalary >= 84000 AND annualSalary	<= 120000)  AND (empName LIKE '_A%' OR empName LIKE '_I%')"
46,260731,4388083,"SELECT a.empName, a.annualSalary/12 as monthlySalary, b.deptName, a.hireDate FROM Employee a JOIN Department b ON a.deptID = b.deptID WHERE a.hireDate IN (SELECT MAX(hireDate) FROM Employee where deptID=a.deptID) AND a.annualSalary >=(SELECT minAnnualSalary FROM Salary_Grade WHERE grade =12) AND a.annualSalary <=(SELECT maxAnnualSalary FROM Salary_Grade WHERE grade =12) ORDER BY a.empName, monthlySalary DESC"
47,37657,4017605,"SELECT a.deptName, a.deptLocation, COUNT(b.deptID) as empCnt FROM Department a LEFT OUTER JOIN Employee b on a.deptID = b.deptID  GROUP BY a.deptID ORDER BY empCnt ASC, a.deptName DESC"
48,36038,4017605,"Select a.deptName, a.deptLocation, Count(b.empID) as empCNT from Department a Left outer join Employee b On (a.deptID = b.deptID) group by  a.deptID order by empCNT, a.deptName DESC"
49,325288,4017605,"SELECT a.deptName, a.deptLocation, COUNT(b.empID) as empCnt FROM Department a LEFT JOIN Employee b ON (a.deptID = b.deptID) GROUP BY a.deptID ORDER BY empCnt, a.deptName DESC;"
50,34406,4017605,"SELECT b.deptName, b.deptLocation, COUNT(DISTINCT(a.empID)) FROM Employee a RIGHT OUTER JOIN Department b ON a.deptID = b.deptID GROUP BY b.deptID ORDER BY COUNT(DISTINCT(a.empID)), b.deptName DESC"
51,129745,4017605,"SELECT a.deptName, a.deptLocation, COUNT(b.empID) as empCNT FROM Department a  LEFT OUTER JOIN Employee b ON a.deptID = b.deptID GROUP BY a.deptId ORDER BY empCNT, a.deptName DESC;"
52,34602,4017605,"SELECT a.deptName, a.deptLocation, COUNT(b.empID) FROM Department d LEFT OUTER JOIN Employee e ON a.deptID = b.deptID GROUP BY a.deptName, a.deptLocation ORDER BY COUNT(b.empID), a.deptName DESC"
53,186896,4017605,"SELECT a.deptName, a.deptLocation, COUNT(b.deptID) FROM Department a LEFT OUTER JOIN Employee b ON a.deptID = b.deptID GROUP BY a.deptName, a.deptLocation, a.deptID ORDER BY COUNT(b.deptID), a.deptName DESC"
54,5259,4017605,"SELECT deptName, deptLocation, count(empID) as total_employee FROM Department LEFT JOIN Employee ON Department.deptID = Employee.deptID GROUP BY Department.deptID ORDER BY total_employee ASC, deptName DESC;"
55,5265,4017605,"SELECT a.deptName, a.deptLocation, COUNT(b.empID) AS numEmployees FROM Department d LEFT OUTER JOIN Employee e ON a.deptID = b.deptID GROUP BY a.deptID ORDER BY numEmployees ASC, a.deptName DESC"
56,5256,4017605,"SELECT a.deptName, a.deptLocation, COUNT(empID) as empCnt FROM Department a LEFT OUTER JOIN Employee b ON (a.deptID = b.deptID) GROUP BY deptName, deptLocation ORDER BY empCnt, deptName DESC"
57,36050,4017605,"SELECT b.deptName, b.deptLocation, count(a.empID) FROM Employee a RIGHT JOIN Department d         on a.deptID = b.deptID  GROUP BY b.deptID ORDER BY count(a.empID) ASC, b.deptName DESC"
58,5283,4017605,"SELECT a.deptName, a. deptLocation, COUNT(b.empID) as empIDCount From Department a LEFT Outer Join Employee b ON (a.deptID = b.deptID) GROUP BY a.deptID ORDER BY empIDCount, a.deptName DESC"
59,32807,4017605,"SELECT a.deptName, a.deptLocation, COUNT(b.empID) AS empCount FROM Department a LEFT OUTER JOIN Employee b ON (a.deptID = b.deptID) GROUP BY a.deptID  ORDER BY empCount ASC, deptName DESC"
60,313637,4017605,"SELECT a.deptName, a.deptLocation, COUNT(b.empID) AS cnt FROM Department a LEFT OUTER JOIN Employee b ON a.deptID = b.deptID GROUP BY a.deptID ORDER BY cnt, a.deptName DESC"
61,37112,4017605,"SELECT a.deptName, a.deptLocation, count(b.empID) AS ""count"" FROM Department a LEFT OUTER JOIN Employee b ON (a.deptID = b.deptID) GROUP BY a.deptID ORDER BY count, a.deptName DESC"
62,331540,4017605,"Select b.deptName,b.deptLocation,count(a.empID) AS num_employees from Employee a RIGHT JOIN Department b ON a.deptID = b.deptID  group by b.deptName,b.deptLocation order by num_employees,b.deptName DESC "
63,322502,4017605,"SELECT a.deptName, a.deptLocation, COUNT(b.empID) AS empCnt FROM Department a LEFT OUTER JOIN Employee b ON (a.deptID = b.deptID) GROUP BY a.deptID ORDER BY empCnt, a.deptName DESC;"
64,125568,3902467,"SELECT empName, jobTitle, salary/12, Employee.deptID, deptName, grade FROM Employee JOIN Salary_Grade      ON Employee.salary > Salary_Grade.minSalary AND Employee.salary <= Salary_Grade.maxSalary  JOIN Department ON Department.deptID = Employee.deptID WHERE salary/12 > 7000 OR jobTitle <> ""IT Support"""
65,11485,3902467,"select ee.empName, ee.jobTitle, ee.salary/12, ee.deptID, deptName, grade FROM (Employee ee JOIN Department de ON ee.deptID = de.deptID) JOIN Salary_Grade a ON ee.salary BETWEEN a.minSalary AND a.maxSalary WHERE ee.salary/12 > 7000 OR NOT (ee.jobTitle = ""IT Support"")"
66,34406,3902467,"SELECT a.empName, a.jobTitle, a.salary / 12, a.deptID, b.deptName, c.grade FROM Employee a, Department b, Salary_Grade c WHERE a.deptID = b.deptID AND a.salary >= c.minSalary AND a.salary <= c.maxSalary AND (a.salary/12 > 7000 OR a.empID NOT IN (SELECT empID FROM Employee WHERE jobTitle <> 'IT Support'))"
67,342776,3902467,"SELECT a.empName, a.jobTitle, a.salary/12, a.deptID, b.deptName, c.grade FROM Employee a NATURAL JOIN Department b JOIN Salary_Grade c ON (a.salary >= c.minSalary AND a.salary <= c.maxSalary) WHERE a.salary/12 > 7000 OR a.jobTitle <> 'IT Support'"
68,33032,3902467,"Select a.empName, a.jobTitle, a.salary/12 as monthlySal, a.deptID, b.deptName, c.grade From Employee a, Department b, Salary_Grade c Where ((a.salary/12)>7000 OR a.jobTitle <> 'IT Support') AND a.deptID = b.deptID AND (a.salary between c.minsalary and c.maxsalary)  "
69,34602,3902467,"SELECT empName, jobTitle, salary/12, deptID, deptName, grade FROM Department NATURAL JOIN Employee JOIN Salary_Grade ON salary >= minSalary AND salary <= maxSalary WHERE salary > 7000 OR jobTitle NOT LIKE 'IT Support'"
70,124539,3902467,"SELECT empName, jobTitle, salary/12, deptID, deptName, grade  FROM Employee NATURAL JOIN Department, Salary_Grade WHERE (salary > minSalary AND salary <= maxSalary) AND  (salary/12 > 7000 OR jobTitle NOT LIKE ""%IT Support%"")  "
71,308057,3902467,"SELECT empName, jobTitle, salary/12, deptID, deptName, grade FROM Department NATURAL JOIN Employee, Salary_Grade WHERE salary >= minSalary and salary <= maxSalary AND (salary/12 >= 7000 OR jobTitle <> ""IT Support"")"
72,186896,3902467,"SELECT DISTINCT a.empName, a.jobTitle, (a.salary/12), a.deptID, b.deptName, c.grade FROM Employee a NATURAL JOIN Department b LEFT OUTER JOIN Salary_Grade c ON ((a.salary >= c.minSalary) AND (a.salary <= c.maxSalary)) WHERE (a.salary/12) > 7000 OR a.jobTitle <> 'IT Support'"
73,202279,3902467,"SELECT a.empName, a.jobTitle, a.salary/12.0 as MonthlySal, a.deptID, b.deptName, c.grade FROM Employee a, Department b, Salary_Grade c WHERE a.DeptID = b.deptID AND a.salary BETWEEN c.minSalary AND c.maxSalary AND (((a.salary/12.0)>7000) OR (a.jobTitle <> ""IT Support""));"
74,38065,3902467,"select empName, jobTitle, (salary / 12) as monthlySalary, deptID, deptName, grade from Employee a natural join Department d join Salary_Grade c on a.salary >= c.minSalary and a.salary <= c.maxSalary where salary / 12 > 7000 or jobTitle != 'IT Support'"
75,5259,3902467,"SELECT empName, jobTitle, salary / 12, deptID, deptName, grade FROM (Employee NATURAL JOIN Department), Salary_Grade WHERE salary >= minSalary AND salary <= maxSalary AND (salary > 7000 OR jobTitle != 'IT Support');"
76,5271,3902467,"SELECT a.empName, a.jobTitle, a.salary/12 AS monthly_salary, b.deptID, b.deptName, c.grade FROM Employee a, Department b, Salary_Grade c WHERE ((a.salary/12 > 7000) OR (b.deptName <> ""IT Support"")) AND (a.salary BETWEEN c.minSalary AND c.maxSalary ) AND (a.deptID = b.deptID)"
77,313213,3902467,"select a.empName, a.jobTitle, a.salary/12, a.deptId, b.deptName, c.grade from Employee a natural join Department b, Salary_Grade c where (a.salary/12>7000 or a.jobTitle<>""IT Support"") and (a.salary between c.minSalary and c.maxSalary)"
78,30765,3902467,"SELECT a.empName, a.jobTitle, (a.salary/12) as MonthlySal, b.deptID, b.deptName, c.grade FROM Employee a, Department b, Salary_Grade c WHERE a.deptID=b.deptID AND (a.salary>=c.minSalary AND a.salary<=c.maxSalary)  AND (a.salary/12>7000 OR a.jobTitle<>""IT Support"")"
79,6575,3902467,"SELECT a.empName, a.jobTitle, a.salary/12.0 as MonthlySal, a.deptID, b.deptName, c.grade FROM Employee a, Department b, Salary_Grade c WHERE a.DeptID = b.deptID AND a.salary BETWEEN c.minSalary AND c.maxSalary AND (((a.salary/12.0)>7000) OR (a.jobTitle <> ""IT Support""));"
80,5256,3902467,"select empName, jobTitle, salary/12, emp.deptID, deptName, grade from (Employee emp JOIN Department dept on emp.deptID = dept.deptID), Salary_Grade where (salary > (7000/12) and salary >= minSalary and salary <= maxSalary) ;"
81,5493,3902467,"SELECT empName, jobTitle, salary/12, deptID, deptName, grade FROM Department NATURAL JOIN (SELECT * FROM Employee JOIN Salary_Grade ON salary >= minSalary AND salary <= maxSalary) as sal WHERE a.salary/12 > 7000;"
82,5308,3902467,"SELECT Employee.empName, Employee.jobTitle, Employee.salary/12, Department.deptID, Department.deptName, Salary_Grade.grade FROM Employee INNER JOIN Department ON Employee.deptID = Department.deptID CROSS JOIN Salary_Grade WHERE (Employee.salary >= Salary_Grade.minSalary AND Employee.salary <= Salary_Grade.maxSalary AND (Employee.salary/12 > 7000 OR Employee.jobTitle <> 'IT Support')) "
83,36050,3902467,"SELECT a.empName, a.jobTitle, a.salary/12 as ""Monthly Salary"", a.deptID, b.deptName, c.grade FROM Employee a, Department b, Salary_Grade c WHERE a.deptID = b.deptID     AND a.salary between c.minSalary and c.maxSalary     AND (a.salary/12 > 7000 or a.jobTitle != ""IT Support"")"
84,5669,3902467,"select empName, jobTitle, salary/12, emp.deptID, deptName, grade from (Employee emp JOIN Department dept on emp.deptID = dept.deptID), Salary_Grade where (salary > (7000/12) and salary >= minSalary and salary <= maxSalary) ; "
85,32807,3902467,"SELECT a.empName, a.jobTitle, a.salary / 12, a.deptID, b.deptName, c.grade FROM Employee e     JOIN Department b ON a.deptID = b.deptID     JOIN Salary_Grade c ON (a.salary >= c.minSalary) AND (a.salary <= c.maxSalary) WHERE (a.salary / 12 > 7000) OR (a.jobTitle <> ""IT Support"")"
86,5092,3902467,"SELECT DISTINCT a.empName, a.jobTitle, a.salary/12 as MonthlySal, a.deptID, b.deptName, c.grade FROM Employee a NATURAL JOIN Department b JOIN Salary_Grade c ON (a.salary <= c.maxSalary AND a.salary >= c.minSalary) WHERE a.jobTitle <> ""IT Support"" OR (a.salary/12) > 7000"
